source,title,target_service,domains,leak_types,volume,confidence,collected_at,message_id,message_url
@ctifeeds,,ppdb.maalmuttaqinwolowaru.sch.id,ppdb.maalmuttaqinwolowaru.sch.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,www.psba.ponpesalfaqihsima.com,www.psba.ponpesalfaqihsima.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,lms.disdikbud.kaltimprov.go.id,lms.disdikbud.kaltimprov.go.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,disdukcapil.kaltimprov.go.id,disdukcapil.kaltimprov.go.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,ppdb.misunniyyah1selo.sch.id,ppdb.misunniyyah1selo.sch.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,ppdb.mtsislamiyahmalo.sch.id,ppdb.mtsislamiyahmalo.sch.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,www.ppdb.mtsalwathoniyyahbugen.sch.id,www.ppdb.mtsalwathoniyyahbugen.sch.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,www.ppdb.miannashriyahlasem.sch.id,www.ppdb.miannashriyahlasem.sch.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,ppdb.mtsn1labuhanbatu.madaris.id,ppdb.mtsn1labuhanbatu.madaris.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,ppdbma.al-ahliyah.sch.id,ppdbma.al-ahliyah.sch.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,ma.nihayatulamal.net,ma.nihayatulamal.net,web_defacement,,medium,2025-12-09,,
@ctifeeds,,albanat.nihayatulamal.net,albanat.nihayatulamal.net,web_defacement,,medium,2025-12-09,,
@ctifeeds,,albanin.nihayatulamal.net,albanin.nihayatulamal.net,web_defacement,,medium,2025-12-09,,
@ctifeeds,,ppdb.elnuya.com,ppdb.elnuya.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,miftahulfalah.ac.id,miftahulfalah.ac.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,bim.go.id,bim.go.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,demo.schoolmantic.id,demo.schoolmantic.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,fitness.kokaerp.in,fitness.kokaerp.in,web_defacement,,medium,2025-12-09,,
@ctifeeds,,displaymasjid.inweb1.my.id,displaymasjid.inweb1.my.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,absensiselfie.inweb1.my.id,absensiselfie.inweb1.my.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,bankmini3.inweb1.my.id,bankmini3.inweb1.my.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,demonforums.net,demonforums.net,,,medium,2025-12-09,,
@ctifeeds,,ppdb.mantebingtinggi.madaris.id,ppdb.mantebingtinggi.madaris.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,restobarmm.ru,restobarmm.ru,web_defacement,,medium,2025-12-09,,
@ctifeeds,,www.nwsc.com.zm,www.nwsc.com.zm,web_defacement,,medium,2025-12-09,,
@ctifeeds,,demonforums.net,demonforums.net,,,medium,2025-12-09,,
@ctifeeds,,demonforums.net,demonforums.net,,,medium,2025-12-09,,
@ctifeeds,,ansorsumenep.com,ansorsumenep.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,demonforums.net,demonforums.net,,,medium,2025-12-09,,
@ctifeeds,,demonforums.net,demonforums.net,,,medium,2025-12-09,,
@ctifeeds,,illuminatiworldofficial.com,illuminatiworldofficial.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,geniusmoney.docopro.com,geniusmoney.docopro.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,issuer-center.systemlogic.com.br,issuer-center.systemlogic.com.br,web_defacement,,medium,2025-12-09,,
@ctifeeds,,data.systemlogic.com.br,data.systemlogic.com.br,web_defacement,,medium,2025-12-09,,
@ctifeeds,,systemlogic.com.br,systemlogic.com.br,web_defacement,,medium,2025-12-09,,
@ctifeeds,,www.surveybell.com,www.surveybell.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,www.labhmart.com,www.labhmart.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@hackmanac_cybernews,,Jimoty (ジモティー),,,,medium,2025-12-09,,
@hackmanac_cybernews,,Comcast,,,,medium,2025-12-09,,
@hackmanac_cybernews,,Scientology,,,,medium,2025-12-09,,
@hackmanac_cybernews,,Yazaki Group,,,,medium,2025-12-09,,
@hackmanac_cybernews,,National Health Insurance Scheme (NHIS),,,,medium,2025-12-09,,
@hackmanac_cybernews,,Maset,,,,medium,2025-12-09,,
@hackmanac_cybernews,,Providence Academy,,,,medium,2025-12-09,,
@hackmanac_cybernews,,ASKUL,,,,medium,2025-12-09,,
@hackmanac_cybernews,,"Kankyo Kanri Center Co., Ltd.",,,,medium,2025-12-09,,
@hackmanac_cybernews,,"Over 120,000 home cameras hacked in South Korea for 'sexploitation' footage",,,,medium,2025-12-09,,
@hackmanac_cybernews,,ARMIS Group,,,,medium,2025-12-09,,
@hackmanac_cybernews,,Tokyo Electron Taiwan Ltd. (subsidiary of Tokyo Electron),,,,medium,2025-12-09,,
